|    | product_name                                                                            | category_name        | subcategory_name                           |   safety_rating |   quality_rating |   total_rating | product_link                                                                                                  | site_name              |
|---:|:----------------------------------------------------------------------------------------|:---------------------|:-------------------------------------------|----------------:|-----------------:|---------------:|:--------------------------------------------------------------------------------------------------------------|:-----------------------|
|  0 | Кефир с массовой долей жира 3,2% Parmalat                                               | Молочные продукты    | Кефир                                      |            5    |            5     |           5    | https://rskrf.ru/goods/kefir-s-massovoy-doley-zhira-3-2-parmalat-a4e7a6/                                      | https://rskrf.ru       |
|  1 | Шоколад горький «Бабаевский» «Элитный», 75% какао                                       | Кондитерские изделия | Шоколад горький                            |            5    |            5     |           5    | https://rskrf.ru/goods/shokolad-gorkiy-babaevskiy-elitnyy-75-kakao/                                           | https://rskrf.ru       |
|  2 | Сыр фасованный «Тильзитер» «Село Зеленое»                                               | Молочные продукты    | Сыр фасованный                             |            5    |            5     |           5    | https://rskrf.ru/goods/syr-fasovannyy-tilziter-selo-zelenoe/                                                  | https://rskrf.ru       |
|  3 | Масло сливочное «Традиционное», сорт высший, массовая доля жира - 82,5% «Радость вкуса» | Молочные продукты    | Масло сливочное                            |            5    |            5     |           5    | https://rskrf.ru/goods/maslo-slivochnoe-traditsionnoe-sort-vysshiy-massovaya-dolya-zhira-82-5-radost-vkusa/   | https://rskrf.ru       |
|  4 | Масло сливочное «Традиционное», массовая доля жира - 82,5% «Коровка из Кореновки»       | Молочные продукты    | Масло сливочное                            |            5    |            5     |           5    | https://rskrf.ru/goods/maslo-slivochnoe-traditsionnoe-massovaya-dolya-zhira-82-5-korovka-iz-korenovki-df391d/ | https://rskrf.ru       |
|  5 | Масло сладко-сливочное «Традиционное» «Село зеленое»                                    | Молочные продукты    | Масло сладко-сливочное                     |            5    |            5     |           5    | https://rskrf.ru/goods/maslo-sladko-slivochnoe-traditsionnoe-selo-zelenoe/                                    | https://rskrf.ru       |
|  6 | Масло сливочное «Традиционное» с м.д.ж. 82,5% «Рузское молоко»                          | Молочные продукты    | Масло сливочное                            |            5    |            5     |           5    | https://rskrf.ru/goods/maslo-slivochnoe-traditsionnoe-s-m-d-zh-82-5-ruzskoe-moloko/                           | https://rskrf.ru       |
|  7 | Шоколад молочный «Алёнка»                                                               | Кондитерские изделия | Шоколад молочный                           |            5    |            5     |           5    | https://rskrf.ru/goods/shokolad-molochnyy-alyenka/                                                            | https://rskrf.ru       |
|  8 | Кетчуп «Слобода» «Томатный», высшая категория                                           | Соусы                | Кетчуп «Слобода»                           |            5    |            5     |           5    | https://rskrf.ru/goods/ketchup-sloboda-tomatnyy-vysshaya-kategoriya-01562c/                                   | https://rskrf.ru       |
|  9 | Кетчуп «Томатный» Heinz                                                                 | Соусы                | Кетчуп «Томатный»                          |            5    |            5     |           5    | https://rskrf.ru/goods/ketchup-tomatnyy-heinz-624d10/                                                         | https://rskrf.ru       |
